CrabType FL RW CL CW sFL sRW sCL sCW
B 8.1 6.7 16.1 19 0.29504191 -0.16706092 -0.2312472 0.2878402
B 8.8 7.7 18.1 20.8 0.89855867 0.74307033 0.8362321 0.762451
B 9.2 7.8 19 22.4 1.00432283 0.44237461 0.9941205 1.2456911
B 9.6 7.9 20.1 23.1 0.55095572 -0.09861609 0.8748041 0.7932428
B 9.8 8 20.3 23 1.01028819 0.03447108 1.0531994 0.7332798
B 10.8 9 23 26.5 -0.7426745 -0.59022379 0.1120728 0.237667
B 11.1 9.9 23.8 27.1 -0.16616538 0.41200407 0.7091512 0.5387059
B 11.6 9.1 24.5 28.4 -0.49137566 -1.06349806 0.1766606 0.3688891
B 11.8 9.6 24.2 27.8 1.41279602 0.18813874 1.1938927 1.0337131
B 11.8 10.5 25.2 29.3 0.07824463 0.5125512 0.8410302 0.9288873
B 12.2 10.8 27.3 31.6 -0.41827793 0.20052479 1.2651462 1.1964804
B 12.3 11 26.8 31.5 -1.17758489 -0.08227205 0.1408793 0.5281431
B 12.6 10 27.7 31.7 -0.68198933 -1.03956572 0.7183169 0.6144057
B 12.8 10.2 27.2 31.8 0.61838067 -0.40019894 1.1980434 1.2867
B 12.8 10.9 27.4 31.5 0.41733173 0.20143498 1.165102 1.0221926
b 7.2 6.5 14.7 17.1 0.73167669 1.01626166 0.5721168 0.7254158
b 9 8.5 19.3 22.7 0.51516358 1.43447895 1.2790897 1.4372613
b 9.1 8.1 18.5 21.6 0.7597432 0.86756218 0.5191717 0.7348373
b 9.1 8.2 19.2 22.2 0.7597432 1.00929138 1.1840999 1.1179777
b 9.5 8.2 19.6 22.4 1.44017627 0.86029402 1.3253667 1.0623077
b 9.8 8.9 20.4 23.9 -0.52429984 0.42465846 -0.0982616 0.2958223
b 10.1 9.3 20.9 24.4 1.14699428 1.46991125 1.1445209 1.2244055
b 10.3 9.5 21.3 24.7 0.29806481 1.03636324 0.4508645 0.5877516
b 10.4 9.7 21.7 25.4 2.10051104 2.14141733 2.0687634 1.9888911
b 10.8 9.5 22.5 26.3 0.85381229 0.78034422 1.030655 1.1523621
b 11 9.8 22.5 25.7 3.76628301 2.43004011 3.0155485 2.3522815
b 11.2 10 22.8 26.9 0.94187697 0.99722932 0.6869196 1.012682
b 11.5 11 24.7 29.2 -0.05390783 1.27310413 0.8332962 1.1571768
b 11.6 11 24.6 28.5 -0.49137566 0.9302501 0.2469896 0.4161676
b 11.6 11.4 23.7 27.7 0.34884943 1.82848611 0.2807475 0.5617856
O 9.1 6.9 16.7 18.6 1.66204372 -0.43672944 -0.5475374 -0.6993503
O 10.2 8.2 20.2 22.2 -0.15335407 -0.66941217 -0.6375922 -0.9296948
O 10.7 8.6 20.7 22.7 0.40616613 -0.41108162 -0.5969577 -0.9261318
O 11.4 9 22.7 24.8 -0.24036953 -0.88791524 -0.6150622 -0.9848687
O 12.5 9.4 23.2 26 0.30002409 -1.11402189 -1.3419236 -1.2210707
O 12.5 9.4 24.2 27 -0.47844116 -1.45325334 -1.2500122 -1.2048109
O 12.7 10.4 26 28.8 -1.73052209 -1.23260676 -1.337446 -1.3550193
O 13.2 11 27.1 30.4 -1.12071327 -0.77277896 -0.8067916 -0.8060989
O 13.4 10.1 26.6 29.6 -0.46723126 -1.42726965 -0.8407647 -0.9296948
O 13.7 11 27.5 30.5 -0.34888412 -0.77277896 -0.5669815 -0.7657958
O 14 11.5 29.2 32.2 -1.37052667 -1.03225813 -0.7505003 -0.9722334
O 14.1 10.4 28.9 31.8 -1.82736574 -2.20533667 -1.3961029 -1.4760246
O 14.1 10.5 29.1 31.6 -1.22676613 -1.86532285 -0.806334 -1.1974381
O 14.1 10.7 28.7 31.9 -1.53158172 -1.8327519 -1.270635 -1.2648866
O 14.2 10.6 28.7 31.7 -0.76650951 -1.64510962 -0.7812305 -0.975434
o 10.7 9.7 21.4 24 -0.93484421 0.18928676 -1.0820839 -1.0166616
o 11.4 9.2 21.7 24.1 0.63619267 -0.26188798 -0.691213 -0.8418314
o 12.5 10 24.1 27 0.10005137 -0.60044018 -0.8821448 -0.8785703
o 12.6 11.5 25 28.1 -0.86298945 0.30064542 -1.1534737 -1.0437114
o 12.9 11.2 25.8 29.1 -1.08179752 -0.34130446 -1.1962313 -1.0343697
o 14 11.9 27 31.4 -0.57185699 -0.30564057 -1.3806231 -0.8048194
o 14 12.8 28.8 32.4 -0.73662191 0.38657571 -0.4673753 -0.51414
o 14.3 12.2 28.1 31.8 0.04752733 0.03872987 -0.6115862 -0.5494493
o 14.7 13.2 29.6 33.4 -0.03656256 0.55443955 -0.2709367 -0.3274615
o 14.9 13 30 33.7 -0.39879187 0.05448419 -0.5557122 -0.5994323
o 15 12.3 30.1 33.3 -1.31918362 -1.02452253 -1.3283788 -1.3628563
o 15.6 13.5 31.2 35.1 -0.66090016 -0.16374385 -0.8692954 -0.818104
o 15.6 14 31.6 35.3 -0.20794141 0.45880698 -0.3054494 -0.4807542
o 15.6 14.1 31 34.5 -0.20794141 0.53788776 -0.6234585 -0.7657958
o 15.7 13.6 31 34.8 -0.07147306 0.14248385 -0.6234585 -0.6589052
