no SK_L SK_B CR_I FEM TIB HUM ULN TOT AGE CODE EXC
45 37.8 29.2 77.3 74.7 112.0 73.7 66.5 364.7 2167 A .
105 40.5 31.2 77.0 81.5 124.0 79.2 72.3 397.5 2513 A .
277 40.3 31.0 76.9 80.3 116.5 78.6 73.8 389.5 2158 A .
313 38.9 30.5 78.4 74.8 111.0 72.2 66.6 363.5 1819 A .
348 37.6 29.2 77.7 73.2 100.5 73.6 67.3 352.2 342 A .
371 39.7 30.8 77.6 78.2 118.0 76.3 71.2 383.4 1467 A .
432 39.1 30.8 78.8 80.6 118.0 80.0 73.2 390.9 1757 A .
504 38.4 . . 73.9 111.0 72.3 66.5 362.1 730 BQ .
591 38.3 29.8 77.8 74.0 108.5 72.3 66.4 359.5 759 A .
632 39.0 29.8 76.4 77.1 118.0 75.4 69.9 379.4 758 A .
650 39.8 31.1 78.2 82.9 122.5 80.8 73.5 399.5 1089 A .
692 39.7 31.0 78.1 78.6 119.0 76.2 71.5 385.0 1022 A .
737 . . . 74.2 106.5 74.7 . 358.2 700 MCT .
775 40.2 30.1 74.9 75.5 116.0 75.6 71.3 378.6 363 A .
794 39.7 30.4 76.6 78.9 117.0 77.9 71.5 385.0 389 A .
796 38.8 30.8 79.4 77.2 116.0 75.6 69.3 376.9 397 A .
799 . . . 76.2 113.0 77.6 70.3 375.9 893 MC .
804 38.9 30.2 77.6 78.8 118.0 75.9 71.3 382.9 704 A .
805 38.2 . . 78.0 115.0 73.9 67.1 372.2 360 B .
809 39.0 30.6 78.5 79.9 119.5 78.3 73.0 389.7 833 A .
820 35.6 29.0 81.5 71.7 107.0 70.4 64.9 349.6 362 A .
827 39.5 29.7 75.2 77.7 118.0 75.4 69.4 380.0 741 A .
842 38.8 28.6 73.7 70.4 108.0 71.8 66.1 355.1 364 A .
843 39.3 30.2 76.9 75.6 114.0 74.8 69.3 373.0 383 A .
845 37.7 29.8 79.1 72.9 112.0 72.5 66.8 361.9 294 A .
